Input name,State of optimization,time for just solving,time overall,was successful?,max distance
prop_000_0.015.vnnlib,wrong classification
prop_001_0.015.vnnlib,finished,1.0177531242370605,1.878488540649414,False,37.87714048009852
prop_002_0.015.vnnlib,finished,9.193410158157349,10.282006978988647,False,19125.126327240123
prop_003_0.015.vnnlib,finished,6.732985734939575,7.786686897277832,False,9473.764178045967
prop_004_0.015.vnnlib,finished,1.0503170490264893,2.1318600177764893,False,4497.83452516809
prop_005_0.015.vnnlib,finished,0.9156293869018555,1.9088644981384277,False,904.3451079389039
prop_006_0.015.vnnlib,finished,1.2476274967193604,2.3111555576324463,False,3704.3985310314533
prop_007_0.015.vnnlib,finished,0.5253646373748779,1.2039263248443604,False,3.4842092201682706
prop_008_0.015.vnnlib,finished,14.152260780334473,15.273252010345459,False,25979.93065387691
prop_009_0.015.vnnlib,finished,1.0811829566955566,2.09946870803833,False,1533.5078111511766
prop_010_0.015.vnnlib,finished,0.8635649681091309,1.8332266807556152,False,493.3229788728489
prop_011_0.015.vnnlib,finished,1.297285556793213,2.40105938911438,False,5184.352393303006
prop_012_0.015.vnnlib,finished,0.8540318012237549,1.592482089996338,False,35.489881806158316
prop_013_0.015.vnnlib,finished,0.8469038009643555,1.8628668785095215,False,1084.5193347304976
prop_014_0.015.vnnlib,finished,1.3027596473693848,2.4276223182678223,False,7099.162429409645
prop_015_0.015.vnnlib,finished,0.6832969188690186,1.6318531036376953,False,442.76071620564517
prop_016_0.015.vnnlib,finished,0.891146183013916,1.968449354171753,False,2692.341779128939
prop_017_0.015.vnnlib,finished,0.9632620811462402,2.0480411052703857,False,3346.4286190131907
prop_018_0.015.vnnlib,finished,9.393370866775513,10.561978101730347,False,29749.06877160097
prop_019_0.015.vnnlib,finished,0.9978666305541992,2.158176898956299,False,6048.458237423976
prop_020_0.015.vnnlib,finished,0.9554624557495117,2.1211509704589844,False,1308.1581435868663
prop_021_0.015.vnnlib,finished,0.6924662590026855,1.651643991470337,False,296.9884042175131
prop_022_0.015.vnnlib,finished,11.026925563812256,12.180686235427856,False,16202.08361435399
prop_023_0.015.vnnlib,finished,1.2360918521881104,2.3576364517211914,False,3521.626509654228
prop_024_0.015.vnnlib,wrong classification
prop_025_0.015.vnnlib,finished,5.458780527114868,6.351801872253418,False,196.1119900101843
prop_026_0.015.vnnlib,finished,1.4207675457000732,2.573314666748047,False,5437.067813399695
prop_027_0.015.vnnlib,lirpa classified
prop_028_0.015.vnnlib,finished,0.7536680698394775,1.7021212577819824,False,224.16696840984292
prop_029_0.015.vnnlib,wrong classification
prop_030_0.015.vnnlib,finished,1.0747158527374268,2.227017879486084,False,4963.0099688155415
prop_031_0.015.vnnlib,finished,6.1350061893463135,7.2433764934539795,False,6132.526440253194
prop_032_0.015.vnnlib,finished,7.55072021484375,8.732073545455933,False,20526.87528452293
prop_033_0.015.vnnlib,finished,1.088127851486206,2.22440767288208,False,2934.8153371341064
prop_034_0.015.vnnlib,finished,0.7588908672332764,1.782465934753418,False,545.7991033513578
prop_035_0.015.vnnlib,finished,8.576152086257935,9.78763198852539,False,25411.975565009827
prop_036_0.015.vnnlib,finished,0.8669116497039795,1.9843642711639404,False,2167.5139489864823
prop_037_0.015.vnnlib,finished,1.4868333339691162,2.2032923698425293,False,11.977818288425944
prop_038_0.015.vnnlib,finished,1.1532413959503174,2.297259569168091,False,2980.3472205656894
prop_039_0.015.vnnlib,finished,1.0029001235961914,2.1538352966308594,False,3212.1534971614055
prop_040_0.015.vnnlib,finished,1.2387480735778809,2.419680118560791,False,5509.9850057855565
prop_041_0.015.vnnlib,finished,0.8968479633331299,1.9909706115722656,False,975.4632062428003
prop_042_0.015.vnnlib,finished,5.487800359725952,6.708523511886597,False,18355.516104208018
prop_043_0.015.vnnlib,finished,1.1445419788360596,2.3280889987945557,False,5941.781539523348
prop_044_0.015.vnnlib,finished,1.1267073154449463,2.295459508895874,False,4113.941086456952
prop_045_0.015.vnnlib,finished,6.34865927696228,7.445606470108032,False,1938.8194117991957
prop_046_0.015.vnnlib,finished,1.0408461093902588,2.2117464542388916,False,4136.302641307324
prop_047_0.015.vnnlib,finished,0.897467851638794,2.0311038494110107,False,2425.7425824773863
prop_048_0.015.vnnlib,wrong classification
prop_049_0.015.vnnlib,finished,0.7023622989654541,1.6204495429992676,False,71.5384269857772
