Input name,State of optimization,time for just solving,time overall,was successful?,max distance
prop_000_0.015.vnnlib,wrong classification
prop_001_0.015.vnnlib,finished,2.044628381729126,2.917590618133545,False,53.83673305112777
prop_002_0.015.vnnlib,finished,32.88267540931702,34.01884317398071,False,23294.046202833582
prop_003_0.015.vnnlib,finished,25.888565063476562,26.967365503311157,False,11144.627795192922
prop_004_0.015.vnnlib,finished,7.460175037384033,8.564325332641602,False,14098.611313061087
prop_005_0.015.vnnlib,finished,9.828473329544067,10.849274396896362,False,2358.5252623615447
prop_006_0.015.vnnlib,finished,10.712831258773804,11.829401969909668,False,10702.614185220104
prop_007_0.015.vnnlib,finished,2.1890430450439453,2.881960153579712,False,12.837501603103615
prop_008_0.015.vnnlib,finished,14.179848670959473,15.350019454956055,False,25979.93065387691
prop_009_0.015.vnnlib,finished,6.407147407531738,7.451656818389893,False,4741.6095481360335
prop_010_0.015.vnnlib,finished,20.85356068611145,21.82623553276062,False,1274.570845992251
prop_011_0.015.vnnlib,finished,6.178974151611328,7.296031713485718,False,15299.05622835917
prop_012_0.015.vnnlib,finished,1.6834297180175781,2.4170000553131104,False,36.70539464281406
prop_013_0.015.vnnlib,finished,4.288054704666138,5.296044588088989,False,3358.124181609004
prop_014_0.015.vnnlib,finished,47.961236238479614,49.08838367462158,False,20490.126104336243
prop_015_0.015.vnnlib,finished,9.046641826629639,10.003431558609009,False,1386.8796954253799
prop_016_0.015.vnnlib,finished,8.443986177444458,9.542383432388306,False,7021.147319362631
prop_017_0.015.vnnlib,finished,6.547543525695801,7.660889625549316,False,10539.57625191715
prop_018_0.015.vnnlib,finished,9.363713502883911,10.55922555923462,False,29749.06877160097
prop_019_0.015.vnnlib,finished,13.46072769165039,14.62686562538147,False,18978.536999961314
prop_020_0.015.vnnlib,finished,6.851351022720337,7.905892372131348,False,4053.7514238237154
prop_021_0.015.vnnlib,finished,4.841069936752319,5.800727367401123,False,709.5610523444216
prop_022_0.015.vnnlib,finished,11.092572689056396,12.283665180206299,False,16202.08361435399
prop_023_0.015.vnnlib,finished,9.53639006614685,10.682178497314453,False,10169.045745670546
prop_024_0.015.vnnlib,wrong classification
prop_025_0.015.vnnlib,finished,5.549781322479248,6.426506996154785,False,224.43299898892352
prop_026_0.015.vnnlib,finished,8.870608568191528,10.010044574737549,False,16841.075707326017
prop_027_0.015.vnnlib,lirpa classified
prop_028_0.015.vnnlib,finished,5.999782562255859,6.928933620452881,False,584.0646343316224
prop_029_0.015.vnnlib,wrong classification
prop_030_0.015.vnnlib,finished,10.782410144805908,11.918683052062988,False,12809.041031304745
prop_031_0.015.vnnlib,finished,6.158862590789795,7.242177724838257,False,6132.526440253194
prop_032_0.015.vnnlib,finished,7.681909561157227,8.833091735839844,False,20526.87528452293
prop_033_0.015.vnnlib,finished,6.870296001434326,7.9843573570251465,False,9199.787458988423
prop_034_0.015.vnnlib,finished,4.9730541706085205,5.976264715194702,False,1313.9061919805742
prop_035_0.015.vnnlib,finished,8.802085638046265,9.98334550857544,False,25411.975565009827
prop_036_0.015.vnnlib,finished,11.679323434829712,12.787989139556885,False,6709.6460912375105
prop_037_0.015.vnnlib,finished,1.746009349822998,2.454158067703247,False,11.977818288425944
prop_038_0.015.vnnlib,finished,22.18017077445984,23.3041090965271,False,9395.969745579387
prop_039_0.015.vnnlib,finished,6.187007665634155,7.350830554962158,False,9942.17750563633
prop_040_0.015.vnnlib,finished,7.155430316925049,8.357997417449951,False,15918.430927706864
prop_041_0.015.vnnlib,finished,8.466001749038696,9.576866388320923,False,3071.2042228202845
prop_042_0.015.vnnlib,finished,5.56108283996582,6.794070243835449,False,24234.733883794437
prop_043_0.015.vnnlib,finished,12.158359050750732,13.339138269424438,False,18643.928376957054
prop_044_0.015.vnnlib,finished,35.45937156677246,36.6205632686615,False,10611.160987178771
prop_045_0.015.vnnlib,finished,25.352516174316406,26.46625542640686,False,4019.9426292113394
prop_046_0.015.vnnlib,finished,7.001765012741089,8.185099124908447,False,13027.305400163188
prop_047_0.015.vnnlib,finished,6.5486249923706055,7.677534818649292,False,7156.671288199214
prop_048_0.015.vnnlib,wrong classification
prop_049_0.015.vnnlib,finished,7.071768760681152,7.984568119049072,False,183.61417508656245
