Input name,State of optimization,time for just solving,time overall,was successful?,max distance
prop_000_0.015.vnnlib,wrong classification
prop_001_0.015.vnnlib,finished,1.03798246383667,1.919912576675415,False,37.87714048009852
prop_002_0.015.vnnlib,finished,8.859251737594604,10.0708327293396,False,19125.126327240123
prop_003_0.015.vnnlib,finished,6.733646392822266,7.824645042419434,False,9473.764178045967
prop_004_0.015.vnnlib,finished,1.0826365947723389,2.1877951622009277,False,4497.83452516809
prop_005_0.015.vnnlib,finished,0.9419989585876465,1.9565043449401855,False,904.3451079389039
prop_006_0.015.vnnlib,finished,1.2712821960449219,2.358785390853882,False,3704.3985310314533
prop_007_0.015.vnnlib,finished,1.3833386898040771,2.0746395587921143,False,10.6221950122457
prop_008_0.015.vnnlib,finished,13.823916912078857,14.968463897705078,False,25979.93065387691
prop_009_0.015.vnnlib,finished,1.1109676361083984,2.1502978801727295,False,1533.5078111511766
prop_010_0.015.vnnlib,finished,0.889188289642334,1.8781602382659912,False,493.3229788728489
prop_011_0.015.vnnlib,finished,1.3277232646942139,2.4557015895843506,False,5184.352393303006
prop_012_0.015.vnnlib,finished,0.8804867267608643,1.6320645809173584,False,35.489881806158316
prop_013_0.015.vnnlib,finished,0.8684971332550049,1.903045415878296,False,1084.5193347304976
prop_014_0.015.vnnlib,finished,1.3435418605804443,2.4956214427948,False,7099.162429409645
prop_015_0.015.vnnlib,finished,0.7014167308807373,1.6767866611480713,False,442.76071620564517
prop_016_0.015.vnnlib,finished,0.9155261516571045,2.0156807899475098,False,2692.341779128939
prop_017_0.015.vnnlib,finished,0.9971938133239746,2.110382080078125,False,3346.4286190131907
prop_018_0.015.vnnlib,finished,9.62060260772705,10.809857368469238,False,29749.06877160097
prop_019_0.015.vnnlib,finished,1.0284206867218018,2.2074038982391357,False,6048.458237423976
prop_020_0.015.vnnlib,finished,0.9881210327148438,2.038524627685547,False,1308.1581435868663
prop_021_0.015.vnnlib,finished,0.7048661708831787,1.6623857021331787,False,296.9884042175131
prop_022_0.015.vnnlib,finished,11.125319719314575,12.294137716293335,False,16202.08361435399
prop_023_0.015.vnnlib,finished,1.2721753120422363,2.4117257595062256,False,3521.626509654228
prop_024_0.015.vnnlib,wrong classification
prop_025_0.015.vnnlib,finished,5.550757884979248,6.432843923568726,False,196.1119900101843
prop_026_0.015.vnnlib,finished,1.4402518272399902,2.61191987991333,False,5437.067813399695
prop_027_0.015.vnnlib,lirpa classified
prop_028_0.015.vnnlib,finished,0.7835156917572021,1.758296251296997,False,224.16696840984292
prop_029_0.015.vnnlib,wrong classification
prop_030_0.015.vnnlib,finished,1.1102995872497559,2.295428991317749,False,4963.0099688155415
prop_031_0.015.vnnlib,finished,6.233522653579712,7.35994815826416,False,6132.526440253194
prop_032_0.015.vnnlib,finished,7.742214679718018,9.073063373565674,False,20526.87528452293
prop_033_0.015.vnnlib,finished,1.1059556007385254,2.2523245811462402,False,2934.8153371341064
prop_034_0.015.vnnlib,finished,0.7773849964141846,1.8029508590698242,False,545.7991033513578
prop_035_0.015.vnnlib,finished,8.689612627029419,9.905292272567749,False,25411.975565009827
prop_036_0.015.vnnlib,finished,0.8844354152679443,2.0141797065734863,False,2167.5139489864823
prop_037_0.015.vnnlib,finished,1.5104327201843262,2.229937791824341,False,11.977818288425944
prop_038_0.015.vnnlib,finished,1.1722803115844727,2.3130435943603516,False,2980.3472205656894
prop_039_0.015.vnnlib,finished,1.0237407684326172,2.1883766651153564,False,3212.1534971614055
prop_040_0.015.vnnlib,finished,1.2839853763580322,2.48162841796875,False,5509.9850057855565
prop_041_0.015.vnnlib,finished,0.9188506603240967,2.032029628753662,False,975.4632062428003
prop_042_0.015.vnnlib,finished,5.5925257205963135,6.990997314453125,False,18355.516104208018
prop_043_0.015.vnnlib,finished,1.2095568180084229,2.431480884552002,False,5941.781539523348
prop_044_0.015.vnnlib,finished,1.1672031879425049,2.3839807510375977,False,4113.941086456952
prop_045_0.015.vnnlib,finished,6.462103843688965,7.587802886962891,False,1938.8194117991957
prop_046_0.015.vnnlib,finished,1.0857782363891602,2.2965688705444336,False,4136.302641307324
prop_047_0.015.vnnlib,finished,0.9374868869781494,2.100876569747925,False,2425.7425824773863
prop_048_0.015.vnnlib,wrong classification
prop_049_0.015.vnnlib,finished,0.7243127822875977,1.6711399555206299,False,71.5384269857772
